,expected,Predicted,F1Score,Accept,Change
215,Acct_State,Acct_State,1,,
216,Acct_Addr1,Acct_Addr1,1,,
217,Acct_id,Acct_id,1,,
218,Acct_FName,Acct_LName,0.8,,
219,Acct_MName,Acct_MName,1,,
220,Acct_email,Acct_email,1,,
221,Acct_Addr2,Acct_Addr2,1,,
222,Acct_phone,Acct_phone,1,,
223,Acct_Addr2,Acct_Addr2,1,,
224,Acct_Addr1,Acct_Addr2,0.9,,
225,Acct_MName,Acct_LName,0.9,,
226,Acct_Addr2,Acct_Addr2,1,,
227,Acct_FName,Acct_LName,0.8,,
228,Acct_Gender,Acct_Gender,1,,
229,Acct_MName,Acct_MName,1,,
230,Acct_phone,Acct_phone,1,,
231,Acct_email,Acct_email,1,,
232,Acct_State,Acct_State,1,,
233,Acct_Gender,Acct_Gender,1,,
234,Acct_State,Acct_State,1,,
235,Acct_Addr2,Acct_MName,0.4,,
236,Acct_LName,Acct_FName,0.8,,
237,Acct_UIDNo.,Acct_UIDNo.,1,,
238,Acct_FName,Acct_FName,1,,
239,Acct_id,Acct_id,1,,
240,Acct_MName,Acct_MName,1,,
241,Acct_Addr1,Acct_Addr1,1,,
242,Acct_Addr1,Acct_Addr1,1,,
243,Acct_UIDNo.,Acct_UIDNo.,1,,
244,Acct_State,Acct_State,1,,
245,Acct_MName,Acct_MName,1,,
246,Acct_LName,Acct_LName,1,,
247,Acct_State,Acct_State,1,,
248,Acct_Gender,Acct_Gender,1,,
249,Acct_Addr2,Acct_MName,0.4,,
250,Acct_Addr1,Acct_Addr1,1,,
251,Acct_MName,Acct_MName,1,,
252,Acct_DOB,Acct_DOB,1,,
253,Acct_State,Acct_State,1,,
254,Acct_MName,Acct_LName,0.9,,
255,Acct_LName,Acct_LName,1,,
256,Acct_City,Acct_City,1,,
257,Acct_Addr1,Acct_Addr1,1,,
258,Acct_id,Acct_id,1,,
259,Acct_MName,Acct_MName,1,,
260,Acct_id,Acct_id,1,,
261,Acct_id,Acct_id,1,,
262,Acct_State,Acct_State,1,,
263,Acct_phone,Acct_phone,1,,
264,Acct_email,Acct_email,1,,
265,Acct_id,Acct_id,1,,
266,Acct_Gender,Acct_Gender,1,,
267,Acct_UIDNo.,Acct_UIDNo.,1,,
268,Acct_Addr1,Acct_Addr1,1,,
269,Acct_FName,Acct_FName,1,,
270,Acct_State,Acct_State,1,,
271,Acct_Addr1,Acct_City,0.8,,
272,Acct_phone,Acct_phone,1,,
273,Acct_LName,Acct_FName,0.8,,
274,Acct_Gender,Acct_Gender,1,,
275,Acct_LName,Acct_FName,0.8,,
276,Acct_email,Acct_email,1,,
277,Acct_Gender,Acct_Gender,1,,
278,Acct_DOB,Acct_DOB,1,,
279,Acct_Addr1,Acct_Addr1,1,,
280,Acct_City,Acct_City,1,,
281,Acct_Addr2,Acct_MName,0.4,,
282,Acct_Addr2,Acct_Addr2,1,,
283,Acct_MName,Acct_LName,0.9,,
284,Acct_phone,Acct_phone,1,,
285,Acct_email,Acct_email,1,,
286,Acct_State,Acct_State,1,,
287,Acct_FName,Acct_FName,1,,
288,Acct_phone,Acct_phone,1,,
289,Acct_Addr2,Acct_MName,0.4,,
290,Acct_Gender,Acct_Gender,1,,
291,Acct_City,Acct_City,1,,
292,Acct_MName,Acct_FName,0.7,,
293,Acct_UIDNo.,Acct_UIDNo.,1,,
294,Acct_id,Acct_id,1,,
295,Acct_LName,Acct_LName,1,,
296,Acct_City,Acct_LName,0.6,,
297,Acct_State,Acct_State,1,,
298,Acct_MName,Acct_FName,0.7,,
299,Acct_Addr2,Acct_Addr2,1,,
300,Acct_LName,Acct_City,0.6,,
301,Acct_UIDNo.,Acct_UIDNo.,1,,
302,Acct_State,Acct_State,1,,
303,Acct_email,Acct_email,1,,
304,Acct_Gender,Acct_Gender,1,,
305,Acct_UIDNo.,Acct_UIDNo.,1,,
306,Acct_email,Acct_email,1,,
307,Acct_State,Acct_State,1,,
308,Acct_City,Acct_DOB,0.9,,
309,Acct_email,Acct_email,1,,
310,Acct_Addr2,Acct_MName,0.4,,
311,Acct_DOB,Acct_DOB,1,,
312,Acct_phone,Acct_phone,1,,
313,Acct_phone,Acct_phone,1,,
314,Acct_LName,Acct_FName,0.8,,
315,Acct_Addr1,Acct_Addr2,0.9,,
316,Acct_id,Acct_id,1,,
317,Acct_UIDNo.,Acct_UIDNo.,1,,
318,Acct_id,Acct_id,1,,
319,Acct_Gender,Acct_Gender,1,,
320,Acct_LName,Acct_id,0.5,,
321,Acct_FName,Acct_FName,1,,
322,Acct_MName,Acct_MName,1,,
323,Acct_DOB,Acct_DOB,1,,
324,Acct_FName,Acct_LName,0.8,,
325,Acct_Addr2,Acct_MName,0.4,,
326,Acct_DOB,Acct_DOB,1,,
327,Acct_email,Acct_email,1,,
328,Acct_Addr2,Acct_MName,0.4,,
329,Acct_FName,Acct_LName,0.8,,
330,Acct_LName,Acct_LName,1,,
331,Acct_City,Acct_LName,0.6,,
332,Acct_LName,Acct_FName,0.8,,
333,Acct_Gender,Acct_Gender,1,,
334,Acct_State,Acct_State,1,,
335,Acct_Addr1,Acct_Addr1,1,,
336,Acct_City,Acct_DOB,0.9,,
337,Acct_phone,Acct_phone,1,,
338,Acct_id,Acct_id,1,,
339,Acct_DOB,Acct_DOB,1,,
340,Acct_Addr2,Acct_MName,0.4,,
341,Acct_State,Acct_State,1,,
342,Acct_id,Acct_id,1,,
343,Acct_State,Acct_State,1,,
344,Acct_Addr1,Acct_Addr1,1,,
345,Acct_City,Acct_LName,0.6,,
346,Acct_DOB,Acct_DOB,1,,
347,Acct_LName,Acct_FName,0.8,,
348,Acct_LName,Acct_LName,1,,
349,Acct_City,Acct_FName,0.8,,
350,Acct_email,Acct_email,1,,
351,Acct_UIDNo.,Acct_UIDNo.,1,,
352,Acct_id,Acct_id,1,,
353,Acct_Addr1,Acct_Addr2,0.9,,
354,Acct_Addr2,Acct_Addr1,0.9,,
355,Acct_email,Acct_email,1,,
356,Acct_phone,Acct_phone,1,,
357,Acct_FName,Acct_FName,1,,
358,Acct_DOB,Acct_DOB,1,,
359,Acct_City,Acct_City,1,,
360,Acct_State,Acct_State,1,,
361,Acct_UIDNo.,Acct_UIDNo.,1,,
362,Acct_City,Acct_phone,0,,
363,Acct_FName,Acct_FName,1,,
364,Acct_City,Acct_id,0.1,,
365,Acct_LName,Acct_LName,1,,
366,Acct_State,Acct_State,1,,
367,Acct_email,Acct_email,1,,
368,Acct_id,Acct_id,1,,
369,Acct_FName,Acct_FName,1,,
370,Acct_City,Acct_City,1,,
371,Acct_City,Acct_City,1,,
372,Acct_email,Acct_email,1,,
373,Acct_UIDNo.,Acct_UIDNo.,1,,
374,Acct_DOB,Acct_DOB,1,,
375,Acct_MName,Acct_FName,0.7,,
376,Acct_DOB,Acct_DOB,1,,
377,Acct_City,Acct_City,1,,
378,Acct_Gender,Acct_Gender,1,,
379,Acct_State,Acct_State,1,,
380,Acct_email,Acct_email,1,,
381,Acct_id,Acct_id,1,,
382,Acct_LName,Acct_FName,0.8,,
383,Acct_LName,Acct_id,0.5,,
384,Acct_Addr1,Acct_Addr1,1,,
385,Acct_phone,Acct_phone,1,,
386,Acct_City,Acct_LName,0.6,,
387,Acct_City,Acct_City,1,,
388,Acct_Gender,Acct_Gender,1,,
389,Acct_LName,Acct_LName,1,,
390,Acct_Addr2,Acct_MName,0.4,,
391,Acct_id,Acct_id,1,,
392,Acct_phone,Acct_phone,1,,
393,Acct_phone,Acct_phone,1,,
394,Acct_MName,Acct_MName,1,,
395,Acct_State,Acct_State,1,,
396,Acct_UIDNo.,Acct_UIDNo.,1,,
397,Acct_DOB,Acct_DOB,1,,
398,Acct_email,Acct_email,1,,
399,Acct_Addr2,Acct_Addr2,1,,
400,Acct_phone,Acct_phone,1,,
401,Acct_MName,Acct_MName,1,,
402,Acct_Addr2,Acct_MName,0.4,,
403,Acct_email,Acct_email,1,,
404,Acct_MName,Acct_LName,0.9,,
405,Acct_email,Acct_email,1,,
406,Acct_Gender,Acct_Gender,1,,
407,Acct_State,Acct_State,1,,
408,Acct_email,Acct_email,1,,
409,Acct_Addr1,Acct_Addr1,1,,
410,Acct_FName,Acct_FName,1,,
411,Acct_UIDNo.,Acct_UIDNo.,1,,
412,Acct_MName,Acct_LName,0.9,,
413,Acct_Addr2,Acct_Addr1,0.9,,
414,Acct_Gender,Acct_Gender,1,,
415,Acct_City,Acct_City,1,,
416,Acct_FName,Acct_City,0.8,,
417,Acct_id,Acct_id,1,,
418,Acct_DOB,Acct_DOB,1,,
419,Acct_MName,Acct_FName,0.7,,
420,Acct_LName,Acct_FName,0.8,,
421,Acct_UIDNo.,Acct_UIDNo.,1,,
422,Acct_Addr2,Acct_Addr2,1,,
423,Acct_UIDNo.,Acct_UIDNo.,1,,
424,Acct_phone,Acct_phone,1,,
425,Acct_Addr1,Acct_Addr1,1,,
426,Acct_Gender,Acct_Gender,1,,
427,Acct_State,Acct_State,1,,
428,Acct_City,Acct_id,0.1,,
429,Acct_UIDNo.,Acct_UIDNo.,1,,
430,Acct_DOB,Acct_DOB,1,,
431,Acct_Addr1,Acct_Addr1,1,,
432,Acct_id,Acct_id,1,,
433,Acct_Gender,Acct_Gender,1,,
434,Acct_email,Acct_email,1,,
435,Acct_City,Acct_LName,0.6,,
436,Acct_phone,Acct_phone,1,,
437,Acct_LName,Acct_FName,0.8,,
438,Acct_UIDNo.,Acct_UIDNo.,1,,
439,Acct_Gender,Acct_Gender,1,,
440,Acct_Addr2,Acct_MName,0.4,,
441,Acct_DOB,Acct_DOB,1,,
442,Acct_Addr2,Acct_MName,0.4,,
443,Acct_Addr1,Acct_Addr1,1,,
444,Acct_DOB,Acct_DOB,1,,
445,Acct_LName,Acct_LName,1,,
446,Acct_MName,Acct_MName,1,,
447,Acct_Gender,Acct_Gender,1,,
448,Acct_DOB,Acct_DOB,1,,
449,Acct_UIDNo.,Acct_UIDNo.,1,,
450,Acct_phone,Acct_phone,1,,
451,Acct_FName,Acct_id,0.3,,
452,Acct_MName,Acct_LName,0.9,,
453,Acct_City,Acct_DOB,0.9,,
454,Acct_email,Acct_email,1,,
455,Acct_UIDNo.,Acct_UIDNo.,1,,
456,Acct_MName,Acct_FName,0.7,,
457,Acct_State,Acct_State,1,,
458,Acct_email,Acct_email,1,,
459,Acct_phone,Acct_phone,1,,
460,Acct_DOB,Acct_DOB,1,,
461,Acct_DOB,Acct_DOB,1,,
462,Acct_UIDNo.,Acct_UIDNo.,1,,
463,Acct_FName,Acct_FName,1,,
464,Acct_LName,Acct_FName,0.8,,
465,Acct_Addr1,Acct_City,0.8,,
466,Acct_UIDNo.,Acct_UIDNo.,1,,
467,Acct_email,Acct_email,1,,
468,Acct_Addr1,Acct_Addr1,1,,
469,Acct_MName,Acct_MName,1,,
470,Acct_phone,Acct_phone,1,,
471,Acct_Gender,Acct_Gender,1,,
472,Acct_id,Acct_id,1,,
473,Acct_DOB,Acct_DOB,1,,
474,Acct_UIDNo.,Acct_UIDNo.,1,,
475,Acct_FName,Acct_FName,1,,
476,Acct_State,Acct_State,1,,
477,Acct_phone,Acct_phone,1,,
478,Acct_City,Acct_LName,0.6,,
479,Acct_email,Acct_email,1,,
480,Acct_email,Acct_email,1,,
481,Acct_Addr1,Acct_Addr1,1,,
482,Acct_State,Acct_State,1,,
483,Acct_Addr2,Acct_MName,0.4,,
484,Acct_Addr2,Acct_Addr2,1,,
485,Acct_UIDNo.,Acct_UIDNo.,1,,
486,Acct_Addr2,Acct_MName,0.4,,
487,Acct_Addr2,Acct_MName,0.4,,
488,Acct_phone,Acct_phone,1,,
489,Acct_id,Acct_id,1,,
490,Acct_MName,Acct_MName,1,,
491,Acct_Gender,Acct_Gender,1,,
492,Acct_UIDNo.,Acct_UIDNo.,1,,
493,Acct_Gender,Acct_Gender,1,,
494,Acct_id,Acct_id,1,,
495,Acct_id,Acct_id,1,,
496,Acct_Addr1,Acct_Addr1,1,,
497,Acct_UIDNo.,Acct_UIDNo.,1,,
498,Acct_FName,Acct_LName,0.8,,
499,Acct_FName,Acct_LName,0.8,,
500,Acct_City,Acct_Addr1,0.8,,
501,Acct_Gender,Acct_Gender,1,,
502,Acct_City,Acct_City,1,,
503,Acct_phone,Acct_phone,1,,
504,Acct_State,Acct_State,1,,
505,Acct_City,Acct_City,1,,
506,Acct_LName,Acct_City,0.6,,
507,Acct_phone,Acct_phone,1,,
508,Acct_MName,Acct_MName,1,,
509,Acct_DOB,Acct_DOB,1,,
510,Acct_MName,Acct_LName,0.9,,
511,Acct_LName,Acct_LName,1,,
512,Acct_LName,Acct_LName,1,,
513,Acct_Gender,Acct_Gender,1,,
514,Acct_UIDNo.,Acct_UIDNo.,1,,
515,Acct_Gender,Acct_Gender,1,,
516,Acct_State,Acct_State,1,,
517,Acct_email,Acct_email,1,,
518,Acct_phone,Acct_phone,1,,
519,Acct_phone,Acct_phone,1,,
520,Acct_email,Acct_email,1,,
521,Acct_LName,Acct_FName,0.8,,
522,Acct_DOB,Acct_DOB,1,,
523,Acct_phone,Acct_phone,1,,
524,Acct_FName,Acct_FName,1,,
525,Acct_City,Acct_LName,0.6,,
526,Acct_Addr1,Acct_Addr1,1,,
527,Acct_Addr2,Acct_Addr2,1,,
528,Acct_City,Acct_LName,0.6,,
529,Acct_LName,Acct_LName,1,,
530,Acct_MName,Acct_MName,1,,
531,Acct_phone,Acct_phone,1,,
532,Acct_id,Acct_id,1,,
533,Acct_State,Acct_State,1,,
534,Acct_State,Acct_State,1,,
535,Acct_State,Acct_State,1,,
536,Acct_id,Acct_id,1,,
537,Acct_Addr1,Acct_Addr1,1,,
538,Acct_Addr1,Acct_Addr1,1,,
539,Acct_UIDNo.,Acct_UIDNo.,1,,
540,Acct_MName,Acct_MName,1,,
541,Acct_LName,Acct_LName,1,,
542,Acct_FName,Acct_FName,1,,
543,Acct_phone,Acct_phone,1,,
544,Acct_State,Acct_State,1,,
545,Acct_DOB,Acct_DOB,1,,
546,Acct_MName,Acct_FName,0.7,,
547,Acct_FName,Acct_FName,1,,
548,Acct_State,Acct_State,1,,
549,Acct_phone,Acct_phone,1,,
550,Acct_email,Acct_email,1,,
551,Acct_UIDNo.,Acct_UIDNo.,1,,
552,Acct_State,Acct_State,1,,
553,Acct_id,Acct_id,1,,
554,Acct_UIDNo.,Acct_UIDNo.,1,,
555,Acct_Gender,Acct_Gender,1,,
556,Acct_phone,Acct_phone,1,,
557,Acct_UIDNo.,Acct_UIDNo.,1,,
558,Acct_email,Acct_email,1,,
559,Acct_City,Acct_City,1,,
560,Acct_id,Acct_id,1,,
561,Acct_Addr1,Acct_Addr1,1,,
562,Acct_LName,Acct_FName,0.8,,
563,Acct_MName,Acct_MName,1,,
564,Acct_State,Acct_State,1,,
565,Acct_MName,Acct_LName,0.9,,
566,Acct_UIDNo.,Acct_UIDNo.,1,,
567,Acct_DOB,Acct_DOB,1,,
568,Acct_State,Acct_State,1,,
569,Acct_phone,Acct_phone,1,,
570,Acct_DOB,Acct_DOB,1,,
571,Acct_Addr2,Acct_Addr2,1,,
572,Acct_DOB,Acct_DOB,1,,
573,Acct_phone,Acct_phone,1,,
574,Acct_Gender,Acct_Gender,1,,
575,Acct_DOB,Acct_DOB,1,,
576,Acct_phone,Acct_phone,1,,
577,Acct_MName,Acct_MName,1,,
578,Acct_LName,Acct_FName,0.8,,
579,Acct_Gender,Acct_Gender,1,,
580,Acct_Gender,Acct_Gender,1,,
581,Acct_MName,Acct_MName,1,,
582,Acct_Addr2,Acct_MName,0.4,,
583,Acct_State,Acct_State,1,,
584,Acct_LName,Acct_FName,0.8,,
585,Acct_MName,Acct_MName,1,,
586,Acct_LName,Acct_FName,0.8,,
587,Acct_FName,Acct_FName,1,,
588,Acct_FName,Acct_FName,1,,
589,Acct_Gender,Acct_Gender,1,,
590,Acct_id,Acct_id,1,,
591,Acct_LName,Acct_City,0.6,,
592,Acct_City,Acct_City,1,,
593,Acct_email,Acct_email,1,,
594,Acct_id,Acct_id,1,,
595,Acct_Addr2,Acct_MName,0.4,,
596,Acct_id,Acct_id,1,,
597,Acct_id,Acct_id,1,,
598,Acct_Addr1,Acct_Addr1,1,,
599,Acct_UIDNo.,Acct_UIDNo.,1,,
600,Acct_DOB,Acct_DOB,1,,
601,Acct_Gender,Acct_Gender,1,,
602,Acct_Addr1,Acct_Addr1,1,,
603,Acct_LName,Acct_LName,1,,
604,Acct_State,Acct_State,1,,
605,Acct_phone,Acct_phone,1,,
606,Acct_DOB,Acct_DOB,1,,
607,Acct_LName,Acct_LName,1,,
608,Acct_id,Acct_id,1,,
609,Acct_Addr2,Acct_Addr1,0.9,,
610,Acct_LName,Acct_FName,0.8,,
611,Acct_State,Acct_State,1,,
612,Acct_email,Acct_email,1,,
613,Acct_phone,Acct_phone,1,,
614,Acct_MName,Acct_FName,0.7,,
615,Acct_Addr1,Acct_Addr1,1,,
616,Acct_UIDNo.,Acct_UIDNo.,1,,
617,Acct_MName,Acct_MName,1,,
618,Acct_FName,Acct_FName,1,,
619,Acct_id,Acct_id,1,,
620,Acct_Gender,Acct_Gender,1,,
621,Acct_City,Acct_DOB,0.9,,
622,Acct_email,Acct_email,1,,
623,Acct_Addr1,Acct_City,0.8,,
624,Acct_UIDNo.,Acct_UIDNo.,1,,
625,Acct_phone,Acct_phone,1,,
626,Acct_LName,Acct_LName,1,,
627,Acct_FName,Acct_LName,0.8,,
628,Acct_MName,Acct_LName,0.9,,
629,Acct_id,Acct_id,1,,
630,Acct_Gender,Acct_Gender,1,,
631,Acct_State,Acct_State,1,,
632,Acct_Gender,Acct_Gender,1,,
633,Acct_Addr1,Acct_Addr1,1,,
634,Acct_phone,Acct_phone,1,,
635,Acct_email,Acct_email,1,,
636,Acct_State,Acct_State,1,,
637,Acct_MName,Acct_MName,1,,
638,Acct_email,Acct_email,1,,
639,Acct_email,Acct_email,1,,
640,Acct_LName,Acct_LName,1,,
641,Acct_id,Acct_id,1,,
642,Acct_Addr1,Acct_Addr1,1,,
643,Acct_DOB,Acct_DOB,1,,
644,Acct_email,Acct_email,1,,
645,Acct_FName,Acct_FName,1,,
646,Acct_Gender,Acct_Gender,1,,
647,Acct_DOB,Acct_DOB,1,,
648,Acct_id,Acct_id,1,,
649,Acct_MName,Acct_MName,1,,
650,Acct_Addr2,Acct_Addr2,1,,
651,Acct_UIDNo.,Acct_UIDNo.,1,,
652,Acct_id,Acct_id,1,,
653,Acct_id,Acct_id,1,,
